programme_slug,university_slug,programme_name,field,fee_display,fee_amount,fee_currency,fee_period,source_url,verified_at
utm-bachelor-civil-engineering,utm,Bachelor of Civil Engineering with Honours,Civil Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://civil.utm.my/undergraduate/programme/,2026-09-22
utm-bachelor-mechanical-engineering,utm,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://mech.utm.my/bachelor-of-mechanical-engineering-with-honours/,2026-09-22
utm-bachelor-electrical-engineering,utm,Bachelor of Electrical Engineering with Honours,Electrical & Electronic Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm-bachelor-electronic-engineering,utm,Bachelor of Electronic Engineering with Honours,Electrical & Electronic Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm-bachelor-electrical-mechatronics,utm,Bachelor of Engineering (Electrical - Mechatronics) with Honours,Mechatronics Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://fke.utm.my/undergraduate/bachelor-of-engineering-electrical-mechatronics-skem/,2026-09-22
utm-bachelor-chemical-engineering,utm,Bachelor of Chemical Engineering with Honours,Chemical Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm-bachelor-petroleum-engineering,utm,Bachelor of Petroleum Engineering with Honours,Petroleum Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm-bachelor-software-engineering,utm,Bachelor in Software Engineering with Honours,Software Engineering,"RM71,000 total tuition (international, bridging-exempt; excludes accommodation)",71000,MYR,Total tuition (bridging-exempt international),https://comp.utm.my/bachelor-in-software-engineering-w-honours/,2026-09-22
utm-bachelor-networks-security,utm,Bachelor of Computer Science (Computer Networks and Security) with Honours,Cybersecurity,"RM71,000 total tuition (international, bridging-exempt; excludes accommodation)",71000,MYR,Total tuition (bridging-exempt international),https://comp.utm.my/secrh/,2026-09-22
utm-bachelor-aeronautical-engineering,utm,Bachelor of Aeronautical Engineering with Honours,Aerospace Engineering,"RM75,000 total tuition (international, bridging-exempt; excludes accommodation)",75000,MYR,Total tuition (bridging-exempt international),https://admission.utm.my/offered-allcourses-international/,2026-09-22
apu-bsc-computer-science,apu,Bachelor of Science (Honours) in Computer Science,Computer Science,"RM108,500 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",108500,MYR,Total programme,https://www.apu.edu.my/course/bsc-hons-in-computer-science,2026-09-22
apu-bsc-ai,apu,Bachelor of Computer Science (Hons) (Artificial Intelligence),Artificial Intelligence,"RM108,500 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",108500,MYR,Total programme,https://www.apu.edu.my/course/bsc-hons-in-computer-science-ai,2026-09-22
apu-bsc-data-analytics,apu,Bachelor of Science (Honours) in Computer Science with a specialism in Data Analytics,Data Science,"RM108,500 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",108500,MYR,Total programme,https://www.apu.edu.my/course/bsc-hons-in-computer-science-data-analytics,2026-09-22
apu-bsc-cyber-security,apu,Bachelor of Science (Honours) in Computer Science (Cyber Security),Cybersecurity,"RM108,500 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",108500,MYR,Total programme,https://www.apu.edu.my/node/288,2026-09-22
apu-bsc-software-engineering,apu,Bachelor of Science (Hons) in Software Engineering,Software Engineering,"RM108,500 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",108500,MYR,Total programme,https://apu.edu.my/course/bsc-hons-in-software-engineering,2026-09-22
apu-bachelor-computer-engineering,apu,Bachelor of Computer Engineering with Honours,Engineering,"RM137,200 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",137200,MYR,Total programme,https://www.apu.edu.my/course/bachelor-of-computer-engineering,2026-09-22
apu-bachelor-electrical-electronic-engineering,apu,Bachelor of Electrical and Electronic Engineering with Honours,Electrical & Electronic Engineering,"RM137,200 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",137200,MYR,Total programme,https://apu.edu.my/course/bachelor-of-electrical-and-electronic-engineering,2026-09-22
apu-bachelor-mechatronic-engineering,apu,Bachelor of Mechatronic Engineering with Honours,Mechatronics Engineering,"RM137,200 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",137200,MYR,Total programme,https://apu.edu.my/course/bachelor-of-mechatronic-engineering,2026-09-22
