slug,university,programme,field,source_url,verified_at
apu-ba-business-management,apu,Bachelor of Arts (Honours) in Business Management,Business Administration,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-business-management-ebusiness,apu,Bachelor of Arts (Honours) in Business Management with a specialism in E-Business,Digital Business,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-business-management-digital-leadership,apu,Bachelor of Arts (Honours) in Business Management with a specialism in Digital Leadership,Digital Business,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-business-management-ai-business-analytics,apu,Bachelor of Arts (Honours) in Business Management with a specialism in AI & Business Analytics,Business Analytics,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-business-management-business-economics,apu,Bachelor of Arts (Honours) in Business Management with a specialism in Business Economics,Economics,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-human-resource-management,apu,Bachelor of Arts (Honours) in Human Resource Management,Human Resource Management,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-human-resource-management-people-analytics,apu,Bachelor of Arts (Honours) in Human Resource Management with a specialism in People Analytics,Human Resource Management,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-international-business-management,apu,Bachelor of Arts (Honours) in International Business Management,International Business,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-bachelor-digital-marketing,apu,Bachelor in Digital Marketing (Honours),Digital Marketing,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-ba-international-business-supply-chain,apu,Bachelor of Arts (Honours) in International Business Management with a specialism in Supply Chain Management,Supply Chain & Logistics,https://www.apu.edu.my/study-area/business-management,2026-09-22
apu-bachelor-accounting-finance,apu,Bachelor of Accounting and Finance (Honours),Accounting & Finance,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bachelor-accounting-finance-forensic,apu,Bachelor of Accounting and Finance (Honours) with a specialism in Forensic Accounting,Accounting & Finance,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bachelor-accounting-finance-forex-investments,apu,Bachelor of Accounting and Finance (Honours) with a specialism in Forex and Investments,Accounting & Finance,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bachelor-accounting-finance-accounting-technology,apu,Bachelor of Accounting and Finance (Honours) with a specialism in Accounting Technology,Accounting & Finance,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bachelor-banking-finance,apu,Bachelor in Banking and Finance (Hons),Banking & Finance,https://www.apu.edu.my/study-area/banking-finance,2026-09-22
apu-bachelor-banking-finance-investment-analytics,apu,Bachelor in Banking and Finance (Hons) with a specialism in Investment Analytics,Banking & Finance,https://www.apu.edu.my/study-area/banking-finance,2026-09-22
apu-bachelor-banking-finance-financial-technology,apu,Bachelor in Banking and Finance (Hons) with a specialism in Financial Technology,Banking & Finance,https://www.apu.edu.my/study-area/banking-finance,2026-09-22
apu-bachelor-financial-technology,apu,Bachelor of Financial Technology (Honours),FinTech,https://www.apu.edu.my/study-area/banking-finance,2026-09-22
apu-bsc-actuarial-studies,apu,Bachelor of Science (Honours) in Actuarial Studies,Actuarial Studies,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bsc-actuarial-studies-data-analytics,apu,Bachelor of Science (Honours) in Actuarial Studies with a specialism in Data Analytics,Actuarial Studies,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
apu-bsc-actuarial-studies-financial-technology,apu,Bachelor of Science (Honours) in Actuarial Studies with a specialism in Financial Technology,Actuarial Studies,https://www.apu.edu.my/study-area/accounting-finance,2026-09-22
