university_slug,programme_slug,programme_name,field,source_url,verified_at
utm,utm-bsc-architecture,Bachelor of Science in Architecture with Honours,Architecture,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bachelor-quantity-surveying,Bachelor of Quantity Surveying with Honours,Quantity Surveying,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bsc-construction,Bachelor of Science in Construction with Honours,Construction Management,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bachelor-urban-regional-planning,Bachelor of Urban and Regional Planning with Honours,Urban Planning,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bachelor-landscape-architecture,Bachelor of Landscape Architecture with Honours,Landscape Architecture,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bachelor-geomatics-engineering,Bachelor of Geomatics Engineering with Honours,Geomatics & Geoinformatics,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bsc-geoinformatics,Bachelor of Science in Geoinformatics with Honours,Geomatics & Geoinformatics,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bsc-land-administration-development,Bachelor of Science in Land Administration and Development with Honours,Land Administration & Development,https://admission.utm.my/offered-allcourses-international/,2026-09-22
utm,utm-bachelor-real-estate,Bachelor of Real Estate with Honours,Real Estate,https://builtsurvey.utm.my/academic/undergraduate/,2026-09-22
taylors,taylors-bsc-architecture,Bachelor of Science (Honours) in Architecture,Architecture,https://university.taylors.edu.my/en/study/explore-all-programmes/architecture-building-and-design/undergraduate/bachelor-of-science-in-architecture.html,2026-09-22
taylors,taylors-ba-interior-architecture,Bachelor of Arts (Honours) in Interior Architecture,Interior Architecture,https://university.taylors.edu.my/en/study/explore-all-programmes/architecture-building-and-design/undergraduate/bachelor-of-art-in-interior-architecture.html,2026-09-22
taylors,taylors-bachelor-quantity-surveying,Bachelor of Quantity Surveying (Honours),Quantity Surveying,https://university.taylors.edu.my/en/study/explore-all-programmes/architecture-building-and-design/undergraduate/bachelor-of-quantity-surveying.html,2026-09-22
taylors,taylors-bsc-sustainable-digital-construction,Bachelor of Science (Honours) in Sustainable Digital Construction Management,Sustainable Digital Construction,https://university.taylors.edu.my/en/study/explore-all-programmes/architecture-building-and-design.html,2026-09-22
taylors,taylors-bachelor-psychology,Bachelor of Psychology (Honours),Psychology,https://university.taylors.edu.my/en/study/explore-all-programmes.html,2026-09-22
taylors,taylors-bachelor-international-relations,Bachelor of Social Science (Honours) in International Relations,International Relations,https://university.taylors.edu.my/en/study/explore-all-programmes.html,2026-09-22
taylors,taylors-bachelor-pharmacy,Bachelor of Pharmacy (Honours),Pharmacy,https://university.taylors.edu.my/en/study/explore-all-programmes/pharmacy/undergraduate/bachelor-of-pharmacy.html,2026-09-22
taylors,taylors-bachelor-pharmaceutical-science,Bachelor of Pharmaceutical Science (Honours),Pharmaceutical Science,https://university.taylors.edu.my/en/study/explore-all-programmes/pharmacy.html,2026-09-22
taylors,taylors-mbbs,"Bachelor of Medicine, Bachelor of Surgery (MBBS)",Medicine,https://university.taylors.edu.my/en/study/explore-all-programmes/medicine/undergraduate/bachelor-of-medicine-bachelor-of-surgery.html,2026-09-22
ucsi,ucsi-doctor-medicine,Doctor of Medicine (MD),Medicine,https://www.ucsiuniversity.edu.my/programmes/faculty-of-medicine-and-health-sciences,2026-09-22
ucsi,ucsi-bachelor-nursing,Bachelor of Nursing (Hons),Nursing,https://www.ucsiuniversity.edu.my/intakes-and-calendar,2026-09-22
ucsi,ucsi-bachelor-optometry,Bachelor of Optometry (Honours),Optometry,https://www.ucsiuniversity.edu.my/intakes-and-calendar,2026-09-22
ucsi,ucsi-bachelor-pharmacy,Bachelor of Pharmacy (Honours),Pharmacy,https://www.ucsiuniversity.edu.my/node/171,2026-09-22
ucsi,ucsi-bsc-architecture,Bachelor of Science (Hons) in Architecture,Architecture,https://www.ucsiuniversity.edu.my/programmes/faculty-of-engineering-technology-and-built-environment/architecture,2026-09-22
ucsi,ucsi-ba-interior-architecture,Bachelor of Arts (Hons) in Interior Architecture,Interior Architecture,https://www.ucsiuniversity.edu.my/programmes/bachelor-arts-hons-interior-architecture,2026-09-22
ucsi,ucsi-bachelor-quantity-surveying,Bachelor of Quantity Surveying (Hons),Quantity Surveying,https://www.ucsiuniversity.edu.my/programmes/bachelor-quantity-surveying-hons,2026-09-22
ucsi,ucsi-ba-psychology,BA (Hons) Psychology,Psychology,https://www.ucsiuniversity.edu.my/programmes/ba-hons-psychology,2026-09-22
sunway,sunway-doctor-medicine,Doctor of Medicine,Medicine,https://sunwayuniversity.edu.my/faculty-of-medical-and-life-sciences/courses,2026-09-22
sunway,sunway-bachelor-nursing,Bachelor of Nursing (Honours),Nursing,https://sunwayuniversity.edu.my/faculty-of-medical-and-life-sciences/courses/bachelor-of-nursing-honours,2026-09-22
sunway,sunway-bsc-psychology,Bachelor of Science (Honours) in Psychology,Psychology,https://sunwayuniversity.edu.my/faculty-of-medical-and-life-sciences/courses/bachelor-of-science-honours-psychology,2026-09-22
sunway,sunway-bsc-biomedicine,Bachelor of Science (Honours) Biomedicine,Biomedicine,https://sunwayuniversity.edu.my/faculty-of-medical-and-life-sciences/courses/bachelor-of-science-honours-biomedicine,2026-09-22
sunway,sunway-bsc-medical-biotechnology,BSc (Hons) Medical Biotechnology,Medical Biotechnology,https://sunwayuniversity.edu.my/faculty-of-medical-and-life-sciences/courses/bsc-hons-medical-biotechnology,2026-09-22
sunway,sunway-ba-communication,Bachelor of Arts (Hons) in Communication,Communication & Media,https://sunwayuniversity.edu.my/sunway-university-lancaster-university/programmes,2026-09-22
sunway,sunway-ba-advertising-branding,Bachelor of Arts (Honours) in Advertising and Branding,Advertising & Branding,https://sunwayuniversity.edu.my/centre-professional-and-continuing-education/apela-courses,2026-09-22
sunway,sunway-ba-design-communication,Bachelor of Arts (Honours) Design Communication,Design Communication,https://sunwayuniversity.edu.my/centre-professional-and-continuing-education/apela-courses,2026-09-22
sunway,sunway-ba-digital-film-production,Bachelor of Arts (Honours) Digital Film Production,Digital Film Production,https://sunwayuniversity.edu.my/centre-professional-and-continuing-education/apela-courses,2026-09-22
mmu,mmu-bachelor-strategic-communication,Bachelor in Communication (Honours) (Strategic Communication),Strategic Communication,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fac/bachelor-in-comm-hons-strategic-communication/,2026-09-22
mmu,mmu-bachelor-advertising-design,Bachelor in Advertising Design (Honours),Advertising & Branding,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fcm/advertising-design/,2026-09-22
mmu,mmu-bachelor-animation,Bachelor in Animation (Honours),Animation,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fcm/bachelor-in-animation-hons/,2026-09-22
